sample_id,dataset,scene_id,clip_id,frame_id,image_path,mask_path,split,tags,width,height,is_video,source_weight,notes
stage_people_000002,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000018,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000002.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000002.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.66701;fg_ratio=0.07544;source=local_example_video
stage_people_000003,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000036,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000003.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000003.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.64794;fg_ratio=0.06593;source=local_example_video
stage_people_000004,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000054,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000004.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000004.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.6435;fg_ratio=0.0655;source=local_example_video
stage_people_000005,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000072,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000005.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000005.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.48947;fg_ratio=0.05742;source=local_example_video
stage_people_000009,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000144,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000009.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000009.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.60606;fg_ratio=0.05876;source=local_example_video
stage_people_000010,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000162,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000010.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000010.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.76604;fg_ratio=0.0575;source=local_example_video
stage_people_000014,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000234,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000014.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000014.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=3;score_mean=0.29706;fg_ratio=0.04235;source=local_example_video
stage_people_000016,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000270,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000016.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000016.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=2;score_mean=0.44555;fg_ratio=0.04796;source=local_example_video
stage_people_000021,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000021.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000021.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.60985;fg_ratio=0.07761;source=local_example_video
stage_people_000023,stage_broadcast_people_pseudo,sample_demo_22_drummer,sample_demo_22_drummer,000396,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000023.jpg,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000023.png,train,internal|pseudo_label|yolo11x_seg|stage_performance|demo_asset_unspecified,204,360,true,1.0,instances=1;score_mean=0.65519;fg_ratio=0.06714;source=local_example_video
