sample_id,source_id,source_path,license_tag,source_kind,scene_type,frame_idx,timestamp_sec,width,height,image_path,hash16,person_instances,person_score_mean,fg_ratio,mask_path,overlay_path,keep_reason,reject_reason
stage_people_000001,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,0,0.0,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000001.jpg,fffffffffffffffffdfff07ff07fe045c001000000000003000f000000000000,1,0.58761,0.05955,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000001.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000001.jpg,accepted,
stage_people_000002,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,18,0.5994660550458716,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000002.jpg,fffffffffffffefffe7ff81ff81f701160000000000000030003000000000000,1,0.66701,0.07544,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000002.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000002.jpg,accepted,
stage_people_000003,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,36,1.1989321100917432,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000003.jpg,fffffffffffffefffc3ff83ff80b603160022000000000070000000000000000,1,0.64794,0.06593,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000003.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000003.jpg,accepted,
stage_people_000004,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,54,1.7983981651376146,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000004.jpg,fffffffff7ffe1ffc0ffc0bbc18f800200000006801e00000000000000000000,1,0.6435,0.0655,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000004.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000004.jpg,accepted,
stage_people_000005,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,72,2.3978642201834863,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000005.jpg,fffffffffffff7ffc1ff80ffc057018f000000000004003c0000000000000000,1,0.48947,0.05742,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000005.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000005.jpg,accepted,
stage_people_000006,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,90,2.997330275229358,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000006.jpg,fffffffffffff7ffc1ff80ff8137830f00000000003c00380000000000000000,1,0.7195,0.0659,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000006.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000006.jpg,accepted,
stage_people_000009,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,144,4.795728440366973,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000009.jpg,fffffffff7fff3ffc0ffc07f801f030f00000000003c003c0000000000000000,1,0.60606,0.05876,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000009.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000009.jpg,accepted,
stage_people_000010,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,162,5.395194495412844,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000010.jpg,fffffffffffff3ffc0ffc07fc09b418f00000000001c001c0000000000000000,1,0.76604,0.0575,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000010.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000010.jpg,accepted,
stage_people_000014,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,234,7.79305871559633,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000014.jpg,fffffffffffff8ffe07fe07fe04d81c780000000000e001e0000000000000000,3,0.29706,0.04235,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000014.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000014.jpg,accepted,
stage_people_000016,sample_demo_22_drummer,/Users/gimdoi/Documents/가이드영상 및 증강 현실 프로그램 제작 자료/Video-LLaVA/llava/serve/examples/sample_demo_22.mp4,demo_asset_unspecified,local_example_video,stage_performance,270,8.991990825688074,204,360,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/images/stage_people_000016.jpg,fffffffffbfff9fff0ffe07fe00b808780000000001e001e0000000000000000,2,0.44555,0.04796,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/masks/stage_people_000016.png,/Users/gimdoi/.openclaw/workspace/seg60_work/localdata/stage_broadcast_people_v1/overlays/stage_people_000016.jpg,accepted,
